epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,767.247,1.23235,0.69533,0.91016,0.91746,0.74519,0.81455,0.5188,1.11229,0.56286,0.87803,0.000676543,0.000676543,0.000676543
81,776.748,1.23375,0.69957,0.9115,0.9065,0.7472,0.81378,0.52016,1.11037,0.56327,0.87826,0.000671044,0.000671044,0.000671044
82,786.279,1.21896,0.69438,0.90944,0.86774,0.77446,0.81553,0.52314,1.09471,0.55731,0.87364,0.000665545,0.000665545,0.000665545
83,795.79,1.23142,0.69985,0.90504,0.89811,0.75136,0.81697,0.51862,1.10936,0.56495,0.87796,0.000660045,0.000660045,0.000660045
84,805.228,1.21518,0.68818,0.91388,0.88123,0.77813,0.81981,0.52149,1.09923,0.5554,0.87391,0.000654546,0.000654546,0.000654546
85,814.681,1.21377,0.67998,0.91044,0.90691,0.76207,0.82435,0.52434,1.09971,0.55862,0.87276,0.000649046,0.000649046,0.000649046
86,824.235,1.20803,0.68128,0.90982,0.94562,0.75335,0.82823,0.52524,1.10058,0.56055,0.87459,0.000643547,0.000643547,0.000643547
87,833.785,1.20268,0.67121,0.90595,0.86854,0.78236,0.82339,0.52017,1.09033,0.55492,0.87092,0.000638047,0.000638047,0.000638047
88,843.423,1.22795,0.68229,0.91117,0.92166,0.76754,0.82729,0.52786,1.09676,0.5554,0.87513,0.000632548,0.000632548,0.000632548
89,852.925,1.22879,0.68063,0.91163,0.85628,0.77644,0.82487,0.52184,1.11217,0.55853,0.875,0.000627048,0.000627048,0.000627048
90,862.384,1.24962,0.68997,0.9172,0.92362,0.75473,0.81892,0.52074,1.09638,0.55813,0.87169,0.000621549,0.000621549,0.000621549
91,871.95,1.22263,0.68576,0.91543,0.89612,0.7462,0.81141,0.51535,1.10301,0.5577,0.87697,0.000616049,0.000616049,0.000616049
92,881.556,1.20778,0.67795,0.9105,0.94151,0.74938,0.82107,0.52268,1.09929,0.55149,0.87324,0.00061055,0.00061055,0.00061055
93,891.575,1.22887,0.68803,0.9105,0.87767,0.77463,0.82488,0.52513,1.09354,0.56133,0.87278,0.000605051,0.000605051,0.000605051
94,901.452,1.21062,0.67866,0.90903,0.91869,0.74894,0.815,0.52336,1.08474,0.55989,0.87164,0.000599551,0.000599551,0.000599551
95,911.561,1.22624,0.67489,0.90787,0.91279,0.75379,0.82055,0.52397,1.08424,0.55198,0.87225,0.000594052,0.000594052,0.000594052
96,921.918,1.21202,0.67992,0.9102,0.8967,0.76439,0.81375,0.51951,1.09465,0.55335,0.87428,0.000588552,0.000588552,0.000588552
97,931.492,1.21084,0.67707,0.9103,0.9079,0.76033,0.82604,0.52857,1.08622,0.54259,0.87141,0.000583053,0.000583053,0.000583053
98,941.193,1.21639,0.6805,0.90923,0.89126,0.76723,0.81893,0.52509,1.08904,0.54661,0.87228,0.000577553,0.000577553,0.000577553
99,950.854,1.21237,0.66685,0.90454,0.92425,0.7519,0.81878,0.52346,1.0932,0.54405,0.87387,0.000572054,0.000572054,0.000572054
100,960.483,1.21374,0.68876,0.91077,0.88611,0.76981,0.81049,0.51841,1.0871,0.55056,0.87509,0.000566554,0.000566554,0.000566554
101,970.086,1.20509,0.66652,0.90656,0.91276,0.76759,0.82758,0.52947,1.08076,0.53724,0.87326,0.000561055,0.000561055,0.000561055
102,979.772,1.19407,0.66349,0.90822,0.92665,0.75367,0.82327,0.52836,1.08014,0.53771,0.87015,0.000555556,0.000555556,0.000555556
103,989.397,1.21697,0.67219,0.90658,0.88594,0.76289,0.82539,0.53012,1.0705,0.53764,0.86998,0.000550056,0.000550056,0.000550056
104,999.01,1.20391,0.67064,0.90876,0.89583,0.76193,0.81996,0.52982,1.07144,0.53426,0.87273,0.000544557,0.000544557,0.000544557
105,1008.65,1.19728,0.66628,0.90467,0.90867,0.75905,0.81992,0.52984,1.0777,0.54091,0.87185,0.000539057,0.000539057,0.000539057
106,1018.29,1.19904,0.65919,0.90814,0.90099,0.76881,0.82767,0.52982,1.07942,0.54051,0.87416,0.000533558,0.000533558,0.000533558
107,1028.1,1.1873,0.66234,0.90498,0.94096,0.74366,0.82591,0.5361,1.06789,0.53815,0.87223,0.000528058,0.000528058,0.000528058
108,1037.55,1.21286,0.6738,0.91099,0.89294,0.76604,0.83071,0.53148,1.06561,0.53771,0.87361,0.000522559,0.000522559,0.000522559
109,1047.25,1.20673,0.65719,0.90645,0.88967,0.77412,0.83076,0.53625,1.06257,0.53278,0.87141,0.000517059,0.000517059,0.000517059
110,1057.16,1.1862,0.66039,0.90843,0.90908,0.76308,0.83181,0.53873,1.04829,0.53276,0.86702,0.00051156,0.00051156,0.00051156
111,1066.72,1.19664,0.66021,0.90144,0.93946,0.76092,0.83124,0.54154,1.04414,0.52573,0.86607,0.00050606,0.00050606,0.00050606
112,1076.3,1.19973,0.66583,0.90487,0.94485,0.76106,0.83168,0.54107,1.04838,0.52018,0.86811,0.000500561,0.000500561,0.000500561
113,1085.85,1.21799,0.66878,0.90297,0.94757,0.75542,0.82982,0.53771,1.05351,0.5306,0.86819,0.000495062,0.000495062,0.000495062
114,1095.46,1.19353,0.65877,0.91171,0.93018,0.76482,0.82677,0.53673,1.0588,0.53008,0.87066,0.000489562,0.000489562,0.000489562
115,1105.18,1.17743,0.65519,0.90345,0.88795,0.77563,0.82427,0.53313,1.05261,0.52721,0.86971,0.000484063,0.000484063,0.000484063
116,1114.7,1.17593,0.65036,0.91194,0.89855,0.77413,0.83262,0.53722,1.04773,0.52745,0.86694,0.000478563,0.000478563,0.000478563
117,1124.31,1.18723,0.65204,0.90401,0.89222,0.77997,0.83491,0.53614,1.05176,0.52996,0.86771,0.000473064,0.000473064,0.000473064
118,1133.81,1.1973,0.65581,0.90234,0.9341,0.77387,0.83676,0.5379,1.05083,0.52363,0.86831,0.000467564,0.000467564,0.000467564
119,1143.39,1.18966,0.6494,0.90821,0.88965,0.77806,0.82664,0.53502,1.05692,0.52814,0.86812,0.000462065,0.000462065,0.000462065
120,1152.8,1.17309,0.64148,0.90319,0.93962,0.7604,0.83212,0.53802,1.04894,0.52657,0.86708,0.000456565,0.000456565,0.000456565
121,1162.43,1.1844,0.65107,0.90649,0.93106,0.7643,0.83309,0.54141,1.05227,0.52353,0.86837,0.000451066,0.000451066,0.000451066
122,1171.98,1.18194,0.65267,0.90196,0.94362,0.75657,0.83675,0.54318,1.05255,0.52485,0.86796,0.000445567,0.000445567,0.000445567
123,1181.62,1.1734,0.62998,0.9025,0.93691,0.75122,0.82559,0.53877,1.04773,0.52375,0.86764,0.000440067,0.000440067,0.000440067
124,1191.22,1.18125,0.63802,0.90338,0.91812,0.75971,0.82515,0.53154,1.05038,0.52964,0.86872,0.000434568,0.000434568,0.000434568
125,1200.82,1.17683,0.64378,0.90337,0.92201,0.76703,0.83327,0.53924,1.04577,0.52242,0.86849,0.000429068,0.000429068,0.000429068
126,1210.31,1.17497,0.64097,0.90405,0.91875,0.77044,0.83445,0.53806,1.04216,0.51978,0.86674,0.000423569,0.000423569,0.000423569
127,1219.89,1.17088,0.63777,0.89891,0.92818,0.76201,0.83231,0.54139,1.04319,0.51779,0.86805,0.000418069,0.000418069,0.000418069
128,1229.44,1.17817,0.64289,0.90351,0.9477,0.75068,0.83346,0.54097,1.04287,0.51976,0.86822,0.00041257,0.00041257,0.00041257
129,1239.21,1.18134,0.64595,0.90378,0.90518,0.78906,0.83969,0.54656,1.04031,0.51078,0.86645,0.00040707,0.00040707,0.00040707
130,1248.87,1.15982,0.63738,0.90152,0.92998,0.77222,0.83831,0.5435,1.04234,0.51396,0.8675,0.000401571,0.000401571,0.000401571
131,1258.63,1.17344,0.64182,0.90576,0.87549,0.79066,0.84056,0.54567,1.04246,0.51179,0.86742,0.000396071,0.000396071,0.000396071
132,1268.22,1.15826,0.63647,0.90232,0.88982,0.79475,0.84232,0.54688,1.03875,0.50967,0.86588,0.000390572,0.000390572,0.000390572
133,1277.83,1.1743,0.64365,0.90444,0.87004,0.79707,0.84024,0.54337,1.0401,0.51234,0.86737,0.000385073,0.000385073,0.000385073
134,1287.69,1.16667,0.63291,0.90507,0.88516,0.79335,0.84258,0.54378,1.04141,0.50844,0.86783,0.000379573,0.000379573,0.000379573
135,1297.4,1.1677,0.64275,0.90259,0.87178,0.79642,0.83978,0.54174,1.04144,0.51057,0.86587,0.000374074,0.000374074,0.000374074
136,1307,1.15635,0.63107,0.89887,0.94106,0.7749,0.83775,0.54633,1.03954,0.51094,0.8662,0.000368574,0.000368574,0.000368574
137,1316.65,1.14208,0.62697,0.89965,0.93171,0.76754,0.83483,0.54313,1.03791,0.51421,0.8659,0.000363075,0.000363075,0.000363075
138,1326.18,1.16236,0.62407,0.90229,0.94796,0.74931,0.83326,0.54193,1.04,0.51418,0.86674,0.000357575,0.000357575,0.000357575
139,1336.14,1.15613,0.63476,0.89913,0.95386,0.74937,0.83837,0.54494,1.0392,0.51531,0.8667,0.000352076,0.000352076,0.000352076
140,1345.92,1.15873,0.61827,0.90255,0.85401,0.78932,0.83343,0.54225,1.0355,0.51494,0.8665,0.000346576,0.000346576,0.000346576
141,1355.83,1.16005,0.62878,0.90038,0.91667,0.76493,0.83442,0.54167,1.03198,0.51301,0.86736,0.000341077,0.000341077,0.000341077
142,1365.46,1.15188,0.62696,0.89868,0.92654,0.76286,0.83396,0.54036,1.0332,0.51473,0.86823,0.000335578,0.000335578,0.000335578
143,1375.04,1.15343,0.62823,0.89858,0.93373,0.76767,0.83473,0.54326,1.03016,0.51535,0.86637,0.000330078,0.000330078,0.000330078
144,1384.7,1.1486,0.61496,0.89949,0.92148,0.76907,0.83663,0.54321,1.02969,0.51497,0.86583,0.000324579,0.000324579,0.000324579
145,1394.35,1.15647,0.63344,0.89533,0.9169,0.76165,0.83042,0.53983,1.03365,0.51336,0.86726,0.000319079,0.000319079,0.000319079
146,1404.01,1.15012,0.61971,0.89767,0.91532,0.76493,0.83128,0.54003,1.03705,0.51158,0.86696,0.00031358,0.00031358,0.00031358
147,1413.59,1.14422,0.62284,0.89742,0.8988,0.76541,0.82138,0.53965,1.03537,0.51141,0.86831,0.00030808,0.00030808,0.00030808
148,1423.25,1.14986,0.62178,0.89946,0.91448,0.76451,0.82983,0.54166,1.03222,0.50848,0.86823,0.000302581,0.000302581,0.000302581
149,1432.91,1.14352,0.61863,0.90042,0.90925,0.76851,0.82966,0.5417,1.02879,0.51275,0.86767,0.000297081,0.000297081,0.000297081
150,1442.6,1.15772,0.6251,0.89825,0.91887,0.76141,0.8281,0.54236,1.02559,0.51353,0.8658,0.000291582,0.000291582,0.000291582
151,1452.14,1.15449,0.61998,0.90691,0.9272,0.75757,0.83466,0.54501,1.03042,0.50861,0.86616,0.000286083,0.000286083,0.000286083
152,1461.73,1.14167,0.61167,0.8984,0.89743,0.78014,0.83468,0.54669,1.02878,0.51106,0.86594,0.000280583,0.000280583,0.000280583
153,1471.69,1.12822,0.61077,0.89446,0.91547,0.75988,0.83499,0.54524,1.02635,0.51142,0.86504,0.000275084,0.000275084,0.000275084
154,1481.33,1.13865,0.61456,0.89936,0.92966,0.76114,0.8394,0.54395,1.0268,0.50779,0.86573,0.000269584,0.000269584,0.000269584
155,1491.1,1.13704,0.61221,0.89706,0.93476,0.76281,0.84309,0.5493,1.023,0.50709,0.86547,0.000264085,0.000264085,0.000264085
156,1500.75,1.11989,0.61267,0.89523,0.92287,0.77463,0.83939,0.55423,1.02063,0.50304,0.86575,0.000258585,0.000258585,0.000258585
157,1510.31,1.1136,0.59307,0.90036,0.91792,0.7745,0.83644,0.54969,1.02226,0.51019,0.86597,0.000253086,0.000253086,0.000253086
158,1519.94,1.14193,0.61121,0.89637,0.92571,0.77208,0.83769,0.55084,1.01795,0.50566,0.86554,0.000247586,0.000247586,0.000247586
159,1529.47,1.14316,0.61407,0.89803,0.91969,0.77081,0.83489,0.55007,1.01937,0.50364,0.86572,0.000242087,0.000242087,0.000242087
160,1539.09,1.12189,0.6086,0.89854,0.91708,0.77044,0.83256,0.54834,1.02197,0.5037,0.86591,0.000236587,0.000236587,0.000236587
161,1548.72,1.12466,0.60586,0.89333,0.92398,0.76073,0.83225,0.54573,1.0205,0.50285,0.86531,0.000231088,0.000231088,0.000231088
162,1558.49,1.13339,0.61739,0.90086,0.91886,0.76799,0.83486,0.54593,1.02032,0.50343,0.86542,0.000225589,0.000225589,0.000225589
